Hour,P_buy_A,P_sell_A,P_curtail_A,P_charge_A,P_discharge_A,SOC_A_%,P_trans_A_to_B,P_trans_A_to_C,P_buy_B,P_sell_B,P_curtail_B,P_charge_B,P_discharge_B,SOC_B_%,P_trans_B_to_A,P_trans_B_to_C,P_buy_C,P_sell_C,P_curtail_C,P_charge_C,P_discharge_C,SOC_C_%,P_trans_C_to_A,P_trans_C_to_B
0.000000,277.754250,0.000000,0.000000,0.000000,61.948135,50.000000,58.555241,-30.719036,234.310132,0.000000,0.000000,0,115.190292,50.000000,89.983734,152.712128,273.801720,0.000000,0.000000,0.000000,98.285225,50.000000,13.370162,102.005424
0.250000,280.963961,0.000000,0.000000,0.000000,94.005005,46.377300,60.780186,-14.383708,220.594310,0.000000,0.000000,0,118.330276,44.947796,92.248993,159.206635,236.933969,0.000000,0.000000,0.000000,99.413025,42.610134,-12.451286,112.994659
0.500000,314.931073,0.000000,0.000000,0.000000,119.157127,40.879936,56.110157,-4.085731,234.004866,0.000000,0.000000,0,119.787354,39.757874,81.350822,174.269180,183.671166,0.000000,0.000000,0.000000,99.904266,35.135468,-50.869686,114.522591
0.750000,331.002758,0.000000,0.000000,0.000000,135.159729,33.911682,48.235413,13.769817,245.451210,0.000000,0.000000,0,119.986526,34.504040,84.838112,179.397614,134.037327,0.000000,0.000000,0.000000,99.990219,27.623871,-80.080833,118.166649
1.000000,324.556738,0.000000,0.000000,0.000000,146.916168,26.007605,37.058586,32.483639,313.968958,0.000000,0.000000,0,119.999840,29.241470,121.552147,180.081818,92.491310,0.000000,0.000000,0.000000,99.999825,20.105808,-104.113701,103.937042
1.250000,332.839269,0.000000,0.000000,0.000000,148.486389,20.000000,34.653053,65.458389,319.178814,0.000000,0.000000,0,119.999985,23.978319,143.846893,178.802994,59.731983,0.000000,0.000000,0.000000,99.999977,20.000000,-109.230934,114.724747
1.500000,319.199798,0.000000,0.000000,0.000000,148.749146,20.000000,30.979506,65.904327,329.641246,0.000000,0.000000,0,119.999992,20.000000,151.606979,175.703201,63.533034,0.000000,0.000000,0.000000,99.999985,20.000000,-106.714821,113.945900
1.750000,312.310464,0.000000,0.000000,0.000000,148.698090,20.000000,25.558298,65.181976,331.565900,0.000000,0.000000,0,119.999992,20.000000,150.366928,174.888535,64.520870,0.000000,0.000000,0.000000,99.999985,20.000000,-105.375801,112.321136
2.000000,289.497628,0.000000,0.000000,0.000000,148.833786,20.000000,15.572662,56.530579,353.817465,0.000000,0.000000,0,119.999992,20.000000,152.856796,170.823380,71.718483,0.000000,0.000000,0.000000,99.999977,20.000000,-100.647720,103.439056
2.250000,286.933628,0.000000,0.000000,0.000000,148.578705,20.000000,17.082319,61.565773,335.546471,0.000000,0.000000,0,119.999985,20.000000,150.014969,168.820694,68.496262,0.000000,0.000000,0.000000,99.999962,20.000000,-99.111298,109.613380
2.500000,277.245145,0.000000,0.000000,0.000000,148.542145,20.000000,11.950693,57.896923,340.682393,0.000000,0.000000,0,119.999985,20.000000,149.136459,166.939194,73.204479,0.000000,0.000000,0.000000,99.999962,20.000000,-97.333664,106.513130
