Hour,P_buy_A,P_sell_A,P_curtail_A,P_charge_A,P_discharge_A,SOC_A_%,P_buy_B,P_sell_B,P_curtail_B,P_charge_B,P_discharge_B,SOC_B_%,P_buy_C,P_sell_C,P_curtail_C,P_charge_C,P_discharge_C,SOC_C_%,P_trans_A_to_B,P_trans_C_to_B
0.000000,134.850447,0.000000,0.000000,0.000000,149.946198,50.000000,219.846724,0.000000,0.000000,119.996933,0.000000,50.000000,180.702396,0.000000,0.000000,0,96.193138,50.000000,0.000000,0.000000
0.250000,121.435095,0.000000,0.000000,0.000000,149.990112,41.231216,212.170921,0.000000,0.000000,119.989616,0.000000,50.000000,170.454972,0.000000,0.000000,0,99.484894,42.767437,0.000000,0.000000
0.500000,114.622025,0.000000,0.000000,0.000000,149.999130,32.459866,205.805944,0.000000,0.000000,119.744453,0.000000,50.000000,162.695768,0.000000,0.000000,0,99.954346,35.287365,0.000000,0.000000
0.750000,114.805522,0.000000,0.000000,0.000000,149.999527,23.687983,205.187108,0.000000,0.000000,117.794159,0.000000,50.000000,170.938441,0.000000,0.000000,0,99.984818,27.772003,0.000000,0.000000
1.000000,112.861141,0.000000,0.000000,0.000000,149.999863,20.000000,205.555635,0.000000,0.000000,94.617058,0.000000,50.000000,157.097371,0.000000,0.000000,0,99.998970,20.254347,0.000000,0.000000
1.250000,106.843638,0.000000,0.000000,0.000000,149.999542,20.000000,195.906134,0.000000,0.000000,110.849373,0.000000,50.000000,156.708710,0.000000,0.000000,0,99.990608,20.000000,0.000000,0.000000
1.500000,58.185399,0.000000,0.000000,0.000000,149.999969,20.000000,74.568922,0.000000,0.000000,0.000000,119.887100,50.000000,97.748432,0.000000,0.000000,0,99.999527,20.000000,10.891875,0.000000
1.750000,48.795521,0.000000,0.000000,0.000000,149.999908,20.000000,73.084236,0.000000,0.000000,0.000000,119.717972,44.741795,105.197315,0.000000,0.000000,0,99.999176,20.000000,0.000000,0.000000
2.000000,139.290153,0.000000,0.000000,0.000000,149.997391,20.000000,167.519592,0.000000,0.000000,0.000000,32.605629,39.491005,159.661195,0.000000,0.000000,0,99.990013,20.000000,27.170614,0.000000
2.250000,152.375519,0.000000,0.000000,0.000000,149.988693,20.000000,190.973056,0.000000,0.000000,26.400896,0.000000,38.060936,161.102493,0.000000,0.000000,0,99.895172,20.000000,45.357384,0.000000
2.500000,110.107728,0.000000,0.000000,0.000000,149.857391,20.000000,198.145098,0.000000,0.000000,92.553947,0.000000,39.105972,173.171952,0.000000,0.000000,0,97.286812,20.000000,0.000000,0.000000
2.750000,117.792256,0.000000,0.000000,0.000000,149.738113,20.000000,197.158997,0.000000,0.000000,50.985596,0.000000,39.105972,192.115600,0.000000,0.000000,0,94.141357,20.000000,0.000000,0.000000
3.000000,270.117615,0.000000,0.000000,0.000000,149.855209,20.000000,115.041338,0.000000,0.000000,0.000000,89.334373,39.105972,189.150409,0.000000,0.000000,0,99.906143,20.000000,134.304016,0.000000
3.250000,126.147906,0.000000,0.000000,0.000000,148.285599,20.000000,202.497105,0.000000,0.000000,82.319557,0.000000,35.187798,238.997473,0.000000,0.000000,0,60.434330,20.000000,0.000000,0.000000
3.500000,141.526675,0.000000,0.000000,0.000000,147.831635,20.000000,210.270797,0.000000,0.000000,93.189659,0.000000,35.187798,269.292937,0.000000,0.000000,0,38.357334,20.000000,0.000000,0.000000
3.750000,160.040836,0.000000,0.000000,0.000000,142.983383,20.000000,210.173686,0.000000,0.000000,90.989059,0.000000,35.187798,271.599243,0.000000,0.000000,0,59.293652,20.000000,0.000000,0.000000
4.000000,175.120113,0.000000,0.000000,0.000000,140.873398,20.000000,224.670625,0.000000,0.000000,103.100891,0.000000,35.187798,266.196858,0.000000,0.000000,0,65.498314,20.000000,0.000000,0.000000
4.250000,185.880668,0.000000,0.000000,0.000000,130.225449,20.000000,230.458085,0.000000,0.000000,114.319878,0.000000,35.187798,299.826380,0.000000,0.000000,0,79.240128,20.000000,0.000000,38.078621
4.500000,210.360094,0.000000,0.000000,0.000000,120.107613,20.000000,230.325050,0.000000,0.000000,87.679764,0.000000,36.619713,422.160557,0.000000,0.000000,0,95.547028,20.000000,0.000000,161.919266
4.750000,212.606910,0.000000,0.000000,0.000000,124.955666,20.000000,243.835955,0.000000,0.000000,72.425262,0.000000,40.090370,443.673574,0.000000,0.000000,0,99.188576,20.000000,0.000000,170.581924
5.000000,221.522393,0.000000,0.000000,0.000000,141.703430,20.000000,258.361251,0.000000,0.000000,88.686409,0.000000,42.957203,474.556167,0.000000,0.000000,0,99.829697,20.000000,0.000000,196.235504
5.250000,220.399901,0.000000,0.000000,0.000000,144.538345,20.000000,256.386988,0.000000,0.000000,113.502930,0.000000,46.467705,490.991104,0.000000,0.000000,0,99.949280,20.000000,0.000000,198.744431
5.500000,201.332597,0.000000,0.000000,0.000000,149.603760,20.000000,138.285063,0.000000,0.000000,0.000000,117.482590,50.960529,391.697647,0.000000,0.000000,0,99.985481,20.000000,0.000000,180.224716
5.750000,208.993776,0.000000,0.000000,0.000000,149.474243,20.000000,255.523824,0.000000,0.000000,101.265396,0.000000,45.807785,492.714716,0.000000,0.000000,0,99.990280,20.000000,0.000000,197.343063
6.000000,272.810077,0.000000,0.000000,0.000000,149.892868,20.000000,190.657597,0.000000,0.000000,0.000000,78.741516,49.816208,466.236391,0.000000,0.000000,0,99.990509,20.000000,93.942703,178.607925
6.250000,169.995427,0.000000,0.000000,0.000000,149.957687,20.000000,140.921586,0.000000,0.000000,0.000000,119.985764,46.362629,212.849554,0.000000,0.000000,0,99.999985,20.000000,0.000000,0.000000
6.500000,177.984658,0.000000,0.000000,0.000000,149.982269,20.000000,147.937764,0.000000,0.000000,0.000000,119.997795,41.100098,185.014870,0.000000,0.000000,0,100.000000,20.000000,0.000000,0.000000
6.750000,73.197369,0.000000,0.000000,0.000000,149.901138,20.000000,147.356828,0.000000,0.000000,0.000000,120.000000,35.837036,139.562098,0.000000,0.000000,0,100.000000,20.000000,0.000000,0.000000
7.000000,64.509980,0.000000,0.000000,0.000000,150.000000,20.000000,153.899262,0.000000,0.000000,0.000000,120.000000,30.573877,137.031799,0.000000,0.000000,0,100.000000,20.000000,0.000000,0.000000
7.250000,0.000000,8.137531,0.000000,0.000000,150.000000,20.000000,146.263365,0.000000,0.000000,0.000000,120.000000,25.310719,316.516319,0.000000,0.000000,0,100.000000,20.000000,0.000000,0.000000
7.500000,0.000000,62.465500,0.000000,0.000000,149.999939,20.000000,146.551143,0.000000,0.000000,0.000000,120.000000,20.047562,0.000000,95.606738,0.000000,0,99.999260,20.000000,0.000000,0.000000
