Hour,P_buy_A,P_sell_A,P_curtail_A,P_charge_A,P_discharge_A,SOC_A_%,P_trans_A_to_B,P_trans_A_to_C,P_buy_B,P_sell_B,P_curtail_B,P_charge_B,P_discharge_B,SOC_B_%,P_trans_B_to_A,P_trans_B_to_C,P_buy_C,P_sell_C,P_curtail_C,P_charge_C,P_discharge_C,SOC_C_%,P_trans_C_to_A,P_trans_C_to_B
0.0,284.7966444,0.0,0.0,0.0,0.0,50.0,0.0,0.0,219.84672385,0.0,0.0,0.0,0.0,50.0,0.0,0.0,276.8955346,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.25,271.42520775,0.0,0.0,0.0,0.0,50.0,0.0,0.0,212.1709212,0.0,0.0,0.0,0.0,50.0,0.0,0.0,269.93986575,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.5,264.62115555,0.0,0.0,0.0,0.0,50.0,0.0,0.0,205.80594415,0.0,0.0,0.0,0.0,50.0,0.0,0.0,262.6501135,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.75,264.80504915,0.0,0.0,0.0,0.0,50.0,0.0,0.0,205.18710835,0.0,0.0,0.0,0.0,50.0,0.0,0.0,270.9232588,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.0,262.8610033,0.0,0.0,0.0,0.0,50.0,0.0,0.0,205.5556354,0.0,0.0,0.0,0.0,50.0,0.0,0.0,257.09634125,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.25,256.8431798,0.0,0.0,0.0,0.0,50.0,0.0,0.0,195.90613405,0.0,0.0,0.0,0.0,50.0,0.0,0.0,256.6993186,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.5,197.29349315,0.0,0.0,0.0,0.0,50.0,0.0,0.0,194.456022,0.0,0.0,0.0,0.0,50.0,0.0,0.0,197.74795875,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.75,198.79542925,0.0,0.0,0.0,0.0,50.0,0.0,0.0,192.80220745,0.0,0.0,0.0,0.0,50.0,0.0,0.0,205.196491,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.0,262.11692955,0.0,0.0,0.0,0.0,50.0,0.0,0.0,200.12522085,0.0,0.0,0.0,0.0,50.0,0.0,0.0,259.65120815,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.25,257.0068285,0.0,0.0,0.0,0.0,50.0,0.0,0.0,190.9730565,0.0,0.0,0.0,0.0,50.0,0.0,0.0,260.99766515,0.0,0.0,0.0,0.0,50.0,0.0,0.0
