Hour,P_buy_A,P_sell_A,P_curtail_A,P_charge_A,P_discharge_A,SOC_A_%,P_buy_B,P_sell_B,P_curtail_B,P_charge_B,P_discharge_B,SOC_B_%,P_buy_C,P_sell_C,P_curtail_C,P_charge_C,P_discharge_C,SOC_C_%,P_trans_A_to_B,P_trans_C_to_B
0.0,410.0523841,0.0,0.0,0.0,0.0,50.0,259.33717065,0.0,0.0,0.0,0.0,50.0,372.60479805,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.25,404.3803201,0.0,0.0,0.0,0.0,50.0,252.55506435,0.0,0.0,0.0,0.0,50.0,373.38540755,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.5,411.02084455,0.0,0.0,0.0,0.0,50.0,260.2733292,0.0,0.0,0.0,0.0,50.0,381.5968135,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.75,408.67666585,0.0,0.0,0.0,0.0,50.0,259.28397335,0.0,0.0,0.0,0.0,50.0,379.45077935,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.0,418.49721345,0.0,0.0,0.0,0.0,50.0,266.28066445,0.0,0.0,17.6671121685037,0.0,50.699323190003334,413.201940927372,0.0,0.0,0.0,0.0,50.0,0.0,18.5969601773723
1.25,414.0993777,0.0,0.0,0.0,0.0,50.0,258.4377866,0.0,0.0,0.0,0.0,50.699323190003334,386.28644905,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.5,413.7126611,0.0,0.0,0.0,0.0,50.0,260.01020365,0.0,0.0,0.0,0.0,50.699323190003334,385.8291158,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.75,413.0098578,0.0,0.0,0.0,0.0,50.0,257.29588065,0.0,0.0,0.0,0.0,50.699323190003334,385.64249045,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.0,415.82679025,0.0,0.0,0.0,0.0,50.0,263.1984159,0.0,0.0,0.0,0.0,50.699323190003334,384.91338385,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.25,405.2227284,0.0,0.0,0.0,0.0,50.0,257.07170915,0.0,0.0,0.0,0.0,50.699323190003334,376.8612747,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.5,405.1523333,0.0,0.0,0.0,0.0,50.0,257.14735915,0.0,0.0,0.0,0.0,50.699323190003334,377.61928165,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.75,405.052875,0.0,0.0,0.0,0.0,50.0,251.44630325,0.0,0.0,0.0,0.0,50.699323190003334,370.593726,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3.0,399.90869745,0.0,0.0,0.0,0.0,50.0,255.38661295,0.0,0.0,0.0,0.0,50.699323190003334,376.95031965,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3.25,402.70457265,0.0,0.0,0.0,0.0,50.0,248.99288975,0.0,0.0,0.0,0.0,50.699323190003334,369.1303714,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3.5,388.9348954,0.0,0.0,0.0,0.0,50.0,248.80972455,0.0,0.0,0.0,0.0,50.699323190003334,362.23105935,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3.75,381.2066417,0.0,0.0,0.0,0.0,50.0,241.3579008,0.0,0.0,0.0,0.0,50.699323190003334,355.1091456,0.0,0.0,0.0,0.0,50.0,0.0,0.0
4.0,368.18779615,0.0,0.0,0.0,0.0,50.0,240.1330026,0.0,0.0,0.0,0.0,50.699323190003334,347.11032285,0.0,0.0,0.0,0.0,50.0,0.0,0.0
4.25,351.52056535,0.0,0.0,0.0,0.0,50.0,235.6753694,0.0,0.0,0.0,0.0,50.699323190003334,332.5438296,0.0,0.0,0.0,0.0,50.0,0.0,0.0
