Hour,P_buy_A,P_sell_A,P_curtail_A,P_charge_A,P_discharge_A,SOC_A_%,P_trans_A_to_B,P_trans_A_to_C,P_buy_B,P_sell_B,P_curtail_B,P_charge_B,P_discharge_B,SOC_B_%,P_trans_B_to_A,P_trans_B_to_C,P_buy_C,P_sell_C,P_curtail_C,P_charge_C,P_discharge_C,SOC_C_%,P_trans_C_to_A,P_trans_C_to_B
0.0,412.06313815,0.0,0.0,0.0,0.0,50.0,0.0,0.0,224.7872783,0.0,0.0,0.0,0.0,50.0,0.0,0.0,334.02186945,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.25,405.88355025,0.0,0.0,0.0,0.0,50.0,0.0,0.0,219.5430563,0.0,0.0,0.0,0.0,50.0,0.0,0.0,339.00529485,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.5,410.92108065,0.0,0.0,0.0,0.0,50.0,0.0,0.0,250.3445644,0.0,0.0,0.0,0.0,50.0,0.0,0.0,345.9911514,0.0,0.0,0.0,0.0,50.0,0.0,0.0
0.75,408.7897015,0.0,0.0,0.0,0.0,50.0,0.0,0.0,225.51664885,0.0,0.0,0.0,0.0,50.0,0.0,0.0,345.40514185,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.0,420.33441395,0.0,0.0,0.0,0.0,50.0,0.0,0.0,229.7484476,0.0,0.0,0.0,0.0,50.0,0.0,0.0,355.24110345,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.25,414.23236745,0.0,0.0,0.0,0.0,50.0,0.0,0.0,224.5789606,0.0,0.0,0.0,0.0,50.0,0.0,0.0,351.6535311,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.5,412.93140515,0.0,0.0,0.0,0.0,50.0,0.0,0.0,249.1344263,0.0,0.0,0.0,0.0,50.0,0.0,0.0,351.29655215,0.0,0.0,0.0,0.0,50.0,0.0,0.0
1.75,411.8443677,0.0,0.0,0.0,0.0,50.0,0.0,0.0,224.0297651,0.0,0.0,0.0,0.0,50.0,0.0,0.0,352.3320552,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.0,416.6896269,0.0,0.0,0.0,0.0,50.0,0.0,0.0,229.05735015,0.0,0.0,0.0,0.0,50.0,0.0,0.0,348.048739,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.25,403.7291131,0.0,0.0,0.0,0.0,50.0,0.0,0.0,223.66561305,0.0,0.0,0.0,0.0,50.0,0.0,0.0,343.2461677,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.5,403.1451956,0.0,0.0,0.0,0.0,50.0,0.0,0.0,223.73579895,0.0,0.0,0.0,0.0,50.0,0.0,0.0,342.5887948,0.0,0.0,0.0,0.0,50.0,0.0,0.0
2.75,402.06545105,0.0,0.0,0.0,0.0,50.0,0.0,0.0,216.14483605,0.0,0.0,0.0,0.0,50.0,0.0,0.0,335.54252425,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3.0,398.8514628,0.0,0.0,0.0,0.0,50.0,0.0,0.0,221.20241905,0.0,0.0,0.0,0.0,50.0,0.0,0.0,338.9773275,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3.25,395.76120975,0.0,0.0,0.0,0.0,50.0,0.0,0.0,216.00651855,0.0,0.0,0.0,0.0,50.0,0.0,0.0,335.1704079,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3.5,387.114609,0.0,0.0,0.0,0.0,50.0,0.0,0.0,215.9420446,0.0,0.0,0.0,0.0,50.0,0.0,0.0,328.3916737,0.0,0.0,0.0,0.0,50.0,0.0,0.0
3.75,380.2094923,0.0,0.0,0.0,0.0,50.0,0.0,0.0,209.1653463,0.0,0.0,0.0,0.0,50.0,0.0,0.0,321.2076041,0.0,0.0,0.0,0.0,50.0,0.0,0.0
4.0,371.2613097,0.0,0.0,0.0,0.0,50.0,0.0,0.0,206.8680558,0.0,0.0,0.0,0.0,50.0,0.0,0.0,310.57074605,0.0,0.0,0.0,0.0,50.0,0.0,0.0
4.25,352.02657335,0.0,0.0,0.0,0.0,50.0,0.0,0.0,203.15011185,0.0,0.0,0.0,0.0,50.0,0.0,0.0,300.0081373,0.0,0.0,0.0,0.0,50.0,0.0,0.0
4.5,352.05313625,0.0,0.0,0.0,0.0,50.0,0.0,0.0,194.2096616,0.0,0.0,0.0,0.0,50.0,0.0,0.0,293.46344865,0.0,0.0,0.0,0.0,50.0,0.0,0.0
4.75,344.6948417,0.0,0.0,0.0,0.0,50.0,0.0,0.0,187.167387,0.0,0.0,0.0,0.0,50.0,0.0,0.0,287.49643785,0.0,0.0,0.0,0.0,50.0,0.0,0.0
5.0,334.7129661,0.0,0.0,0.0,0.0,50.0,0.0,0.0,185.11520025,0.0,0.0,0.0,0.0,50.0,0.0,0.0,275.61697825,0.0,0.0,0.0,0.0,50.0,0.0,0.0
5.25,324.21950695,0.0,0.0,0.0,0.0,50.0,0.0,0.0,180.3705914,0.0,0.0,0.0,0.0,50.0,0.0,0.0,265.3562597,0.0,0.0,0.0,0.0,50.0,0.0,0.0
5.5,250.7158803,0.0,0.0,0.0,0.0,50.0,0.0,0.0,166.5045665,0.0,0.0,0.0,0.0,50.0,0.0,0.0,251.37752265,0.0,0.0,0.0,0.0,50.0,0.0,0.0
